Features,Sensitivity,Specificity,MCC,AUC
001010010001,0.5768334332485668,0.6469332235866867,0.2225546706689711,0.6065140740740742
001010010010,0.563742618944321,0.6150854606933742,0.1731330189882355,0.5615407407407408
001010010011,0.5452094928891067,0.609789448643048,0.15176995258140466,0.5604918518518517
001010010100,0.69851344756087,0.7419149946021374,0.4386428599566857,0.7321288888888893
001010010101,0.6626260089026208,0.739699152261291,0.40269124121511174,0.7136355555555555
001010010110,0.6268023846832801,0.6802904421394621,0.30390725567372545,0.685751111111111
001010010111,0.633781196014305,0.6940260988027849,0.32618968062425746,0.6779970370370374
001010011000,0.6481015576384286,0.6699874253450279,0.31035276507936316,0.6225629629629631
001010011001,0.642025006029496,0.6751309593133819,0.31218853359757687,0.6140400000000001
001010011010,0.6772478215541133,0.6691660754990844,0.3317818456686439,0.6173407407407406
001010011011,0.6351785474375155,0.6620042398147331,0.2895107281673713,0.6058992592592596
001010011100,0.6890100241715059,0.7086855574329246,0.39216354242974716,0.6870622222222221
001010011101,0.6795873365139583,0.7027829464765152,0.3766590735393167,0.6694651851851853
001010011110,0.6703322700664492,0.6963592036870567,0.360627515499931,0.679048888888889
001010011111,0.6489841454436384,0.691833522407475,0.33688353664379567,0.6709333333333335
001010100000,0.6663211624073206,0.7074459070038226,0.37030541494567915,0.7211911111111111
001010100001,0.6410417218556429,0.6958434224781963,0.3342110863984724,0.7110962962962962
001010100010,0.6556174570882916,0.6985671464454843,0.3512615566704925,0.705871111111111
001010100011,0.6433797982243671,0.7054876257382235,0.3461296179061577,0.7094785185185186
001010100100,0.6726032858135068,0.7402863508309422,0.4128624274090307,0.7599792592592594
001010100101,0.6726882251084401,0.7413123206789122,0.41361605920167466,0.7594518518518519
001010100110,0.6435800693040099,0.73336688706244,0.3756375980701749,0.7476385185185184
001010100111,0.6460791591250741,0.7319656660767738,0.3768616290793074,0.7573703703703704
001010101000,0.6096581400960313,0.666103566913247,0.27256120816324897,0.6613037037037037
001010101001,0.607906439294876,0.67280506727287,0.279741781028197,0.6594755555555555
