DIDA id, DEO1, DEO2, RecA, EssA, DEO3, DEO4, RecB, EssB, Path,DE,DE Predicted
dd188,0.579414777,0,0.5737,0,0.3570021058,0,0.1321,0.3919,0,TD, TD (100%)
dd190,0.6979326754,0,0.5737,0,0.3570021058,0,0.1321,0.3919,0,TD, TD (100%)
dd191,0.579414777,0,0.5737,0,0.3974966988,0,0.1321,0.3919,0,TD, TD (100%)
dd192,2,0,0.5737,0,0.121688623,0,0.1321,0.3919,0,TD, TD (100%)
dd193,0.579414777,0,0.5737,0,2,0,0.1321,0.3919,0,TD, TD (100%)
dd018,2,0,0.786,1,0.5518946392,0,0.1337,1,0,CO, CO (80%)
dd040,0.4516554173,0,0.1631,0,2,0,0.0922,1,0,CO, TD (69%)
dd152,2,2,0.1631,0,0.298782984,0,0.0922,1,0,CO, TD (78%)
dd022,0.518267806,0,0.7293,1,2,0,0.6812,1,0,TD, TD (71%)
dd207,0.4312656244,0,0.1475,0.3919,0.5167880494,0.0980449532,0.2499,1,0,TD, CO (100%)
dd125,0.4234990708,0,0.0994,1,0.4431824652,0,0.2029,0,0,CO, TD (100%)
dd126,0.4235560771,0,0.0994,1,0.4431824652,0,0.2029,0,0,CO, TD (100%)
dd128,0.5973000312,0,0.0994,1,0.6769449042,0,0.2029,0,0,CO, TD (100%)
dd010,2,0,0.0929,1,0.084164339,0,0.1062,1,0,TD, CO (96%)
dd058,0.7866090251,0,0.3326,0,0.729513914,0,0.2975,1,0,CO, CO (100%)
dd059,0.4601804049,0,0.3326,0,0.9462919038,0,0.2975,1,0,CO, CO (100%)
dd060,0.4601804049,0.4601804049,0.3326,0,0.9642139606,0,0.2975,1,0,CO, CO (100%)
dd062,0.4601804049,0,0.3326,0,0.8874616506,0,0.2975,1,0,CO, CO (100%)
dd064,0.4601804049,0,0.3326,0,0.7986059091,0,0.2975,1,0,CO, CO (100%)
dd164,0.961686365,0,0.786,1,0.3217254359,0,0.1239,0,0,TD, TD (100%)
dd117,0.9252521728,0,0.8931,1,0.8388398715,0,0.5854,0,0,TD, CO (92%)
dd118,2,0,0.8931,1,0.7231130221,0,0.5854,0,0,TD, TD (57%)
dd120,0.53719995,0,0.8931,1,0.8277434125,0,0.5854,0,0,TD, TD (86%)
