features,Sen_DD,Sen_std_DD,Sen_CO,Sen_std_CO,Sen_TD,Sen_std_TD,Spe_DD,Spe_std_DD,Spe_CO,Spe_std_CO,Spe_TD,Spe_std_TD,geom_mean,geom_mean_std
"f000010000",0.574800,0.019208,0.462800,0.020788,0.418200,0.021419,0.534600,0.014451,0.468800,0.019250,0.442000,0.017889,0.480606,0.018685
"f000010001",0.623000,0.015264,0.606000,0.012490,0.496400,0.011447,0.632600,0.010161,0.591800,0.012600,0.500400,0.013994,0.572228,0.012552
"f000010010",0.595000,0.008544,0.522000,0.006325,0.629400,0.019840,0.656200,0.018643,0.558800,0.010515,0.558000,0.008246,0.584799,0.010960
"f000010011",0.666000,0.017889,0.567200,0.022807,0.623200,0.014344,0.678400,0.011552,0.617400,0.013829,0.577600,0.012737,0.620278,0.015111
"f000010100",0.644600,0.010623,0.568800,0.027831,0.548800,0.018071,0.637400,0.013086,0.591800,0.015709,0.538200,0.014791,0.586857,0.015914
"f000010101",0.643800,0.014682,0.552600,0.030972,0.558000,0.020785,0.610800,0.017982,0.601400,0.019288,0.546800,0.011565,0.584495,0.018329
"f000010110",0.680200,0.012568,0.488000,0.025690,0.681000,0.020125,0.676400,0.012452,0.605200,0.020711,0.587400,0.013684,0.615470,0.016855
"f000010111",0.700400,0.016120,0.532800,0.036608,0.659000,0.022650,0.682400,0.020838,0.623000,0.027731,0.599000,0.014036,0.630171,0.021836
"f000011000",0.515800,0.012820,0.409400,0.019330,0.453000,0.025475,0.566800,0.015677,0.408200,0.020851,0.423400,0.014507,0.459159,0.017621
"f000011001",0.617600,0.019137,0.552000,0.015875,0.498400,0.015409,0.648600,0.014284,0.561600,0.015147,0.472400,0.012579,0.555038,0.015283
"f000011010",0.603600,0.013078,0.531200,0.012270,0.652200,0.023689,0.688400,0.014610,0.546400,0.015590,0.579600,0.011307,0.597693,0.014626
"f000011011",0.666400,0.016584,0.602200,0.017583,0.625400,0.014725,0.683200,0.013182,0.642800,0.014288,0.584800,0.013746,0.633205,0.014939
"f000011100",0.627600,0.018715,0.562600,0.022874,0.575000,0.017234,0.630400,0.015743,0.585200,0.017803,0.554200,0.015759,0.588423,0.017872
"f000011101",0.649400,0.013025,0.555800,0.026237,0.576800,0.023701,0.632800,0.018659,0.606800,0.021949,0.551000,0.017349,0.594274,0.019649
"f000011110",0.679000,0.013304,0.483800,0.018962,0.698400,0.015147,0.694400,0.018128,0.617000,0.020322,0.582800,0.013422,0.620882,0.016320
"f000011111",0.693600,0.018521,0.553600,0.028479,0.668400,0.018586,0.696800,0.019229,0.626800,0.023617,0.605200,0.014176,0.638626,0.019954
"f000100000",0.230000,0.000000,0.360000,0.000000,0.720000,0.000000,0.520000,0.000000,0.450000,0.000000,0.440000,0.000000,0.427896,0.000000
"f000100001",0.395200,0.007808,0.560000,0.000000,0.353800,0.016235,0.353200,0.007600,0.605800,0.006030,0.367400,0.011101,0.428097,0.000000
"f000100010",0.390000,0.000000,0.281000,0.003000,0.675600,0.017794,0.670000,0.000000,0.358800,0.013804,0.438400,0.008570,0.445358,0.000000
"f000100011",0.770000,0.023324,0.384400,0.020991,0.544400,0.008285,0.582400,0.008381,0.480800,0.017871,0.604800,0.008773,0.548696,0.013216
"f000100100",0.551400,0.017437,0.362200,0.008784,0.547400,0.012932,0.454400,0.012831,0.454800,0.012368,0.554000,0.010954,0.481853,0.012288
"f000100101",0.658200,0.017741,0.540400,0.011993,0.576400,0.016824,0.570800,0.010925,0.616800,0.014344,0.589600,0.012484,0.590877,0.013832
"f000100110",0.560800,0.013688,0.459000,0.029138,0.631000,0.011180,0.470000,0.015100,0.599000,0.019000,0.611400,0.014001,0.550913,0.016175
"f000100111",0.672200,0.011365,0.494400,0.010984,0.646600,0.022769,0.612200,0.018793,0.593600,0.025041,0.614200,0.013430,0.602770,0.016183
"f000101000",0.294200,0.010410,0.317200,0.032683,0.718400,0.008570,0.548600,0.032985,0.407000,0.024434,0.458000,0.006633,0.435856,0.015805
"f000101001",0.466200,0.010176,0.484800,0.038897,0.428800,0.068107,0.442000,0.036878,0.557400,0.019577,0.404600,0.039558,0.461495,0.030274
"f000101010",0.452800,0.010962,0.292200,0.019828,0.604800,0.016881,0.670000,0.016371,0.315800,0.018664,0.454200,0.010410,0.444279,0.015061
"f000101011",0.760600,0.022839,0.396800,0.004665,0.530600,0.004200,0.578800,0.009086,0.468000,0.014283,0.618200,0.005173,0.547100,0.008184
"f000101100",0.532400,0.017727,0.367600,0.007365,0.588800,0.013060,0.461200,0.014091,0.476000,0.017088,0.555400,0.010239,0.491225,0.012704
"f000101101",0.638600,0.012808,0.487200,0.013422,0.584000,0.031241,0.577800,0.021475,0.555600,0.015121,0.574600,0.018890,0.567818,0.017904
"f000101110",0.564800,0.018893,0.391400,0.019288,0.639600,0.014827,0.500800,0.020282,0.549800,0.021862,0.567800,0.013159,0.529763,0.017774
"f000101111",0.668200,0.015452,0.480800,0.017982,0.623000,0.019000,0.629400,0.024200,0.542800,0.024416,0.599400,0.012068,0.587183,0.018307
"f000110000",0.525000,0.013304,0.428000,0.019287,0.419600,0.014136,0.507600,0.011758,0.476600,0.014507,0.400200,0.011400,0.457157,0.013848
"f000110001",0.581000,0.013000,0.617600,0.020838,0.443400,0.017845,0.509200,0.008908,0.624600,0.017345,0.499000,0.016523,0.541641,0.015202
"f000110010",0.592800,0.010400,0.539400,0.020338,0.624200,0.021826,0.623000,0.018358,0.587000,0.018788,0.562800,0.012968,0.587404,0.016563
"f000110011",0.669600,0.017316,0.562200,0.006096,0.654000,0.023152,0.702800,0.018443,0.601000,0.014595,0.598200,0.010524,0.629467,0.013805
"f000110100",0.595200,0.019620,0.535200,0.025787,0.616600,0.015180,0.619600,0.020972,0.578200,0.018941,0.565000,0.012530,0.584211,0.018354
"f000110101",0.647800,0.011712,0.545400,0.033119,0.583000,0.014595,0.588200,0.022600,0.626800,0.022842,0.569400,0.012870,0.592447,0.018304
"f000110110",0.686600,0.015825,0.462600,0.015207,0.705600,0.017223,0.704800,0.022112,0.615400,0.016151,0.575200,0.009432,0.618375,0.015517
"f000110111",0.698800,0.014918,0.521600,0.031264,0.711600,0.013017,0.695000,0.022913,0.649000,0.022472,0.615000,0.013892,0.644919,0.018748
"f000111000",0.549800,0.013637,0.412400,0.028744,0.502400,0.012579,0.589200,0.011461,0.457000,0.024187,0.440600,0.013477,0.488052,0.016251
"f000111001",0.564400,0.015895,0.569800,0.019025,0.499600,0.020294,0.526600,0.014644,0.592200,0.021568,0.514200,0.017560,0.543462,0.018002
"f000111010",0.611600,0.017591,0.536400,0.018195,0.643600,0.023217,0.674000,0.022716,0.548600,0.016001,0.588400,0.010268,0.598448,0.017398
"f000111011",0.666600,0.020553,0.554800,0.021283,0.627400,0.026744,0.655800,0.018664,0.612400,0.022141,0.591200,0.014918,0.616852,0.020402
"f000111100",0.630600,0.018699,0.521800,0.017966,0.585000,0.015524,0.636800,0.012238,0.572000,0.017889,0.540400,0.011825,0.579546,0.015431
"f000111101",0.651000,0.013892,0.570000,0.029257,0.588400,0.015538,0.596400,0.020274,0.643000,0.020322,0.578400,0.012706,0.603741,0.017915
"f000111110",0.660000,0.019079,0.466200,0.016839,0.716400,0.020373,0.714400,0.024589,0.593800,0.015606,0.578400,0.009871,0.614960,0.017076
"f000111111",0.700400,0.015615,0.522000,0.032187,0.695200,0.018027,0.685800,0.021734,0.642000,0.021541,0.611000,0.016031,0.639465,0.020203
"f001000000",0.584600,0.010433,0.327400,0.012298,0.568400,0.025168,0.517800,0.010448,0.380800,0.016714,0.561400,0.014001,0.478763,0.014111
"f001000001",0.612000,0.009798,0.483200,0.005075,0.511200,0.012906,0.627600,0.013351,0.538200,0.009315,0.464600,0.008766,0.536038,0.009422
"f001000010",0.598000,0.008485,0.297000,0.035285,0.561800,0.025274,0.547600,0.020451,0.368800,0.033979,0.517600,0.014908,0.467428,0.020688
"f001000011",0.645000,0.012207,0.457800,0.029209,0.503800,0.014952,0.537800,0.009228,0.510200,0.016552,0.546600,0.014087,0.530584,0.015017
